,Statefips,Countyfips,Year,Social_Context_Code,Social_Context_Domain_Data,UID,code3,first_year_cases,Social_Context_Code_Description_Agreeableness,Social_Context_Code_Description_Belief In Science,Social_Context_Code_Description_Collectivism,Social_Context_Code_Description_Conflict Awareness,Social_Context_Code_Description_Conscientiousness,Social_Context_Code_Description_Empathy,Social_Context_Code_Description_Employment Rate,Social_Context_Code_Description_Entrepreneurship,Social_Context_Code_Description_Extraversion,Social_Context_Code_Description_Gender Equality,Social_Context_Code_Description_Hopefulness,Social_Context_Code_Description_Income Mobility,Social_Context_Code_Description_Income Per Capita,Social_Context_Code_Description_Neuroticism,Social_Context_Code_Description_Openness,Social_Context_Code_Description_Religiosity,Social_Context_Code_Description_Risk Taking,Social_Context_Code_Description_Selflessness,Social_Context_Code_Description_Tolerance,Social_Context_Code_Description_Work Ethic
Social_Context_Code_Description_Collectivism,8.39482856290176e-05,8.104132435109329e-05,,0.10499910327094081,-0.051410514261665194,0.0008998959399705109,0.0009270957786952681,-0.00016308215699157487,-0.05278791479249815,-0.05278791479249798,1.0,-0.05278791479249821,-0.05278791479249816,-0.052787914792498135,-0.05277897938424631,-0.052752165899316514,-0.05278791479249804,-0.05278791479249814,-0.05278791479249829,-0.050347835244436465,-0.052778979384246284,-0.0527879147924985,-0.05278791479249851,-0.05278791479249842,-0.05278791479249836,-0.0527879147924982,-0.052787914792498246,-0.05278791479249806
Social_Context_Code_Description_Conflict Awareness,8.3948285629161e-05,8.104132435112982e-05,,0.11043311875116504,-0.051774753947962,0.0008998959399705631,0.0009270957786952703,-0.00016308215699158593,-0.05278791479249819,-0.05278791479249805,-0.05278791479249821,1.0,-0.05278791479249809,-0.05278791479249827,-0.052778979384246374,-0.052752165899316354,-0.05278791479249804,-0.05278791479249828,-0.052787914792498294,-0.050347835244436374,-0.05277897938424632,-0.0527879147924985,-0.052787914792498565,-0.05278791479249857,-0.052787914792498336,-0.05278791479249831,-0.05278791479249842,-0.05278791479249829
Social_Context_Code_Description_Conscientiousness,8.39482856283387e-05,8.104132435108307e-05,,0.07782902586981993,-0.05076941804184051,0.0008998959399704762,0.0009270957786952601,-0.00016308215699150172,-0.052787914792498294,-0.0527879147924981,-0.05278791479249816,-0.05278791479249809,1.0,-0.052787914792498135,-0.052778979384246506,-0.05275216589931674,-0.05278791479249835,-0.05278791479249825,-0.052787914792498176,-0.05034783524443585,-0.05277897938424652,-0.05278791479249822,-0.052787914792498176,-0.052787914792498315,-0.052787914792497885,-0.05278791479249784,-0.05278791479249801,-0.052787914792497954
Social_Context_Code_Description_Empathy,8.394828562888832e-05,8.10413243510506e-05,,0.11586713423138893,-0.050959166646673604,0.0008998959399705741,0.0009270957786952756,-0.0001630821569916169,-0.05278791479249819,-0.05278791479249794,-0.052787914792498135,-0.05278791479249827,-0.052787914792498135,1.0,-0.05277897938424604,-0.052752165899316424,-0.05278791479249799,-0.052787914792498024,-0.05278791479249814,-0.050347835244436555,-0.05277897938424604,-0.052787914792498454,-0.052787914792498405,-0.052787914792498246,-0.05278791479249809,-0.05278791479249798,-0.052787914792498114,-0.05278791479249813
Social_Context_Code_Description_Employment Rate,0.00022200784195842627,-2.1273402052525015e-05,,-0.45462751688658826,-0.050279046280532855,0.0008998959399705804,0.0009270957786952629,-0.00016308215699151736,-0.0527789793842463,-0.05277897938424613,-0.05277897938424631,-0.052778979384246374,-0.052778979384246506,-0.05277897938424604,1.0,-0.05274323654227955,-0.05277897938424644,-0.05277897938424607,-0.05277897938424633,-0.05033931286835409,-0.05277004548849227,-0.05277897938424643,-0.05277897938424628,-0.052778979384246076,-0.052778979384246166,-0.052778979384246444,-0.05277897938424609,-0.05277897938424646
Social_Context_Code_Description_Entrepreneurship,0.0005136538615910987,-0.0002799938297507267,,-0.4706875369274685,-0.05370857194816497,0.0009124691461855421,0.0009266201870936454,-0.001145825779299183,-0.05275216589931664,-0.05275216589931665,-0.052752165899316514,-0.052752165899316354,-0.05275216589931674,-0.052752165899316424,-0.05274323654227955,1.0,-0.05275216589931684,-0.05275216589931623,-0.05275216589931621,-0.05031373881552661,-0.05274323654227937,-0.05275216589931652,-0.052752165899316514,-0.05275216589931651,-0.05275216589931644,-0.05275216589931657,-0.05275216589931681,-0.052752165899316875
Social_Context_Code_Description_Extraversion,8.394828562828654e-05,8.104132435099027e-05,,0.08326304135004398,-0.05060504812770566,0.0008998959399704569,0.0009270957786952629,-0.0001630821569915106,-0.0527879147924983,-0.052787914792497975,-0.05278791479249804,-0.05278791479249804,-0.05278791479249835,-0.05278791479249799,-0.05277897938424644,-0.05275216589931684,1.0,-0.05278791479249804,-0.05278791479249791,-0.05034783524443596,-0.05277897938424643,-0.05278791479249802,-0.05278791479249807,-0.05278791479249795,-0.05278791479249752,-0.0527879147924975,-0.052787914792497635,-0.052787914792497795
Social_Context_Code_Description_Gender Equality,8.394828562870847e-05,8.104132435101825e-05,,0.1213011497116143,-0.05136377839992091,0.0008998959399706002,0.0009270957786952753,-0.0001630821569916129,-0.05278791479249829,-0.05278791479249796,-0.05278791479249814,-0.05278791479249828,-0.05278791479249825,-0.052787914792498024,-0.05277897938424607,-0.05275216589931623,-0.05278791479249804,1.0,-0.05278791479249841,-0.05034783524443646,-0.05277897938424609,-0.05278791479249846,-0.05278791479249847,-0.05278791479249856,-0.05278791479249851,-0.05278791479249828,-0.05278791479249838,-0.05278791479249833
Social_Context_Code_Description_Hopefulness,8.394828562867101e-05,8.104132435104762e-05,,0.12673516519183842,-0.05081639076456551,0.0008998959399705658,0.0009270957786952673,-0.00016308215699156238,-0.0527879147924983,-0.052787914792498024,-0.05278791479249829,-0.052787914792498294,-0.052787914792498176,-0.05278791479249814,-0.05277897938424633,-0.05275216589931621,-0.05278791479249791,-0.05278791479249841,1.0,-0.05034783524443622,-0.05277897938424646,-0.052787914792498364,-0.05278791479249855,-0.05278791479249812,-0.05278791479249826,-0.052787914792498135,-0.05278791479249822,-0.0527879147924982
Social_Context_Code_Description_Income Mobility,-0.002401020839330563,-0.0010168867899754042,,-0.44405010879014334,-0.05166287683895558,0.0007147250097785268,0.0008844604630276776,0.005222946976422687,-0.05034783524443621,-0.05034783524443651,-0.050347835244436465,-0.050347835244436374,-0.05034783524443585,-0.050347835244436555,-0.05033931286835409,-0.05031373881552661,-0.05034783524443596,-0.05034783524443646,-0.05034783524443622,1.0,-0.05033931286835361,-0.050347835244436354,-0.05034783524443655,-0.05034783524443632,-0.05034783524443636,-0.050347835244436166,-0.05034783524443639,-0.05034783524443661
Social_Context_Code_Description_Income Per Capita,0.0002220078419586533,-2.1273402052496525e-05,,-0.46006061247361335,0.971475718136725,0.0008998959399706055,0.0009270957786952674,-0.00016308215699153595,-0.05277897938424624,-0.05277897938424617,-0.052778979384246284,-0.05277897938424632,-0.05277897938424652,-0.05277897938424604,-0.05277004548849227,-0.05274323654227937,-0.05277897938424643,-0.05277897938424609,-0.05277897938424646,-0.05033931286835361,1.0,-0.05277897938424633,-0.05277897938424627,-0.052778979384246166,-0.05277897938424619,-0.05277897938424639,-0.05277897938424613,-0.05277897938424662
Social_Context_Code_Description_Neuroticism,8.394828562819731e-05,8.104132435092002e-05,,0.08869705683026864,-0.05095892452858665,0.0008998959399705076,0.0009270957786952632,-0.00016308215699154294,-0.05278791479249813,-0.05278791479249835,-0.0527879147924985,-0.0527879147924985,-0.05278791479249822,-0.052787914792498454,-0.05277897938424643,-0.05275216589931652,-0.05278791479249802,-0.05278791479249846,-0.052787914792498364,-0.050347835244436354,-0.05277897938424633,1.0,-0.05278791479249835,-0.05278791479249841,-0.052787914792497996,-0.052787914792498,-0.052787914792498156,-0.052787914792498315
Social_Context_Code_Description_Openness,8.3948285628496e-05,8.104132435098678e-05,,0.09413107231049242,-0.05094263526803996,0.0008998959399704107,0.0009270957786952671,-0.0001630821569915622,-0.05278791479249829,-0.05278791479249844,-0.05278791479249851,-0.052787914792498565,-0.052787914792498176,-0.052787914792498405,-0.05277897938424628,-0.052752165899316514,-0.05278791479249807,-0.05278791479249847,-0.05278791479249855,-0.05034783524443655,-0.05277897938424627,-0.05278791479249835,1.0,-0.05278791479249862,-0.05278791479249835,-0.052787914792498336,-0.052787914792498475,-0.052787914792498475
Social_Context_Code_Description_Religiosity,8.39482856286926e-05,8.104132435101204e-05,,0.1321691806720621,-0.05126197219614755,0.0008998959399705886,0.0009270957786952716,-0.00016308215699160076,-0.05278791479249849,-0.05278791479249814,-0.05278791479249842,-0.05278791479249857,-0.052787914792498315,-0.052787914792498246,-0.052778979384246076,-0.05275216589931651,-0.05278791479249795,-0.05278791479249856,-0.05278791479249812,-0.05034783524443632,-0.052778979384246166,-0.05278791479249841,-0.05278791479249862,1.0,-0.052787914792498274,-0.052787914792498135,-0.05278791479249812,-0.05278791479249836
Social_Context_Code_Description_Risk Taking,8.394828562867177e-05,8.10413243510447e-05,,0.13760319615228642,-0.05122138608772696,0.0008998959399705598,0.0009270957786952704,-0.0001630821569915901,-0.052787914792498,-0.052787914792497975,-0.05278791479249836,-0.052787914792498336,-0.052787914792497885,-0.05278791479249809,-0.052778979384246166,-0.05275216589931644,-0.05278791479249752,-0.05278791479249851,-0.05278791479249826,-0.05034783524443636,-0.05277897938424619,-0.052787914792497996,-0.05278791479249835,-0.052787914792498274,1.0,-0.05278791479249769,-0.05278791479249773,-0.05278791479249797
Social_Context_Code_Description_Selflessness,8.394828562854218e-05,8.104132435104777e-05,,0.14303721163251074,-0.05103678909064841,0.0008998959399705364,0.0009270957786952717,-0.00016308215699158187,-0.05278791479249801,-0.05278791479249798,-0.0527879147924982,-0.05278791479249831,-0.05278791479249784,-0.05278791479249798,-0.052778979384246444,-0.05275216589931657,-0.0527879147924975,-0.05278791479249828,-0.052787914792498135,-0.050347835244436166,-0.05277897938424639,-0.052787914792498,-0.052787914792498336,-0.052787914792498135,-0.05278791479249769,1.0,-0.05278791479249792,-0.05278791479249827
Social_Context_Code_Description_Tolerance,8.394828562831373e-05,8.104132435102255e-05,,0.1484712271127348,-0.051350461821563005,0.0008998959399704074,0.0009270957786952719,-0.0001630821569915745,-0.05278791479249818,-0.05278791479249803,-0.052787914792498246,-0.05278791479249842,-0.05278791479249801,-0.052787914792498114,-0.05277897938424609,-0.05275216589931681,-0.052787914792497635,-0.05278791479249838,-0.05278791479249822,-0.05034783524443639,-0.05277897938424613,-0.052787914792498156,-0.052787914792498475,-0.05278791479249812,-0.05278791479249773,-0.05278791479249792,1.0,-0.05278791479249825
Social_Context_Code_Description_Work Ethic,8.394828562799617e-05,8.104132435100132e-05,,0.15390524259295857,-0.05130034369565897,0.0008998959399705152,0.0009270957786952772,-0.00016308215699161122,-0.052787914792498246,-0.052787914792498045,-0.05278791479249806,-0.05278791479249829,-0.052787914792497954,-0.05278791479249813,-0.05277897938424646,-0.052752165899316875,-0.052787914792497795,-0.05278791479249833,-0.0527879147924982,-0.05034783524443661,-0.05277897938424662,-0.052787914792498315,-0.052787914792498475,-0.05278791479249836,-0.05278791479249797,-0.05278791479249827,-0.05278791479249825,1.0
